Company Name (English),Ticker,Classification
SL,1471,Power & Thermal Components
SYNCMOLD,1582,Precision Mechanics
king slide,2059,Precision Mechanics
RECTRON,2302,Discrete & Power Semiconductors
UMC,2303,Foundry
DELTA,2308,Power & Thermal Components
KINPO,2312,EMS & ODM
COMPEQ,2313,PCB & Flex Circuits
WUS,2316,PCB & Flex Circuits
HON HAI,2317,EMS & ODM
YAGEO,2327,Passive Components
PI,2328,Interconnect
OSE,2329,OSAT
TSMC,2330,Foundry
Macronix,2337,Memory
TMC,2338,Wafer & Process Materials
TASC,2340,Discrete & Power Semiconductors
MVI,2342,Foundry; Discrete & Power Semiconductors
WEC,2344,Memory
Synnex,2347,Semiconductor Distribution
SDI,2351,Packaging Materials
FTC,2354,Precision Mechanics
CHIN-POON,2355,PCB & Flex Circuits
SOLOMON,2359,Fab Equipment & Automation
CHROMA,2360,Test & Inspection Equipment
SiS,2363,Connectivity & Interface IC Design
UNITECH,2367,PCB & Flex Circuits
GCE,2368,PCB & Flex Circuits
LPI,2369,OSAT
ABILITY,2374,Sensors & Optical Modules
KAIMEI,2375,Passive Components
RT,2379,Connectivity & Interface IC Design
EMC,2383,CCL & PCB Materials
CHICONY,2385,EMS & ODM
VIA,2388,Logic IC Design
EVERSPRING,2390,Sensors & Optical Modules
FOXLINK,2392,Interconnect
EVERLIGHT,2393,LED & Optoelectronics
SUNPLUS,2401,Logic IC Design
ICHIA,2402,PCB & Flex Circuits
UIS,2404,Fab Equipment & Automation
GSC,2406,Solar & PV
NTC,2408,Memory
AUO,2409,Display & Optical Components
UMEC,2413,Passive Components
CX TECH,2415,Precision Mechanics
ZIPPY,2420,Power & Thermal Components
SUNON,2421,Power & Thermal Components
GW,2423,Test & Inspection Equipment
TYNTEK,2426,LED & Optoelectronics
THINKING,2428,Passive Components
PWT,2429,LED & Optoelectronics
LIEN CHANG,2431,Power & Thermal Components
MOSPEC,2434,Discrete & Power Semiconductors
Weltrend,2436,Analog & Power IC Design
ENLIGHT,2438,LED & Optoelectronics
SPACE SHUTTLE,2440,Interconnect
GTK,2441,OSAT
KYEC,2449,OSAT
Transcend,2451,Memory
MediaTek,2454,Logic IC Design
PHIHONG,2457,Power & Thermal Components
ELAN,2458,Display IC Design
AUDIX,2459,EMS & ODM
GEM,2460,Interconnect
K LASER,2461,Display & Optical Components
LINETEK,2462,Interconnect
Mirle,2464,Fab Equipment & Automation
COSMO,2466,LED & Optoelectronics
C SUN,2467,Fab Equipment & Automation
LELON,2472,Passive Components
CATCHER,2474,Precision Mechanics
GS,2476,Precision Mechanics
MEILOON,2477,EMS & ODM
TA-I,2478,Passive Components
PANJIT,2481,Discrete & Power Semiconductors
ECE,2483,Passive Components
SIWARD,2484,Passive Components
I-CHIUN,2486,LED & Optoelectronics
HANPIN,2488,EMS & ODM
AMTRAN,2489,Display & Optical Components
FOCL,2491,LED & Optoelectronics
WTC,2492,Passive Components
AMPOC,2493,Fab Equipment & Automation
KST,3003,Interconnect
ESMT,3006,Memory; Logic IC Design
LARGAN,3008,Sensors & Optical Modules
WAH LEE,3010,Wafer & Process Materials; Semiconductor Distribution
JH,3011,Interconnect
ITE,3014,Logic IC Design
FSP,3015,Power & Thermal Components
EPi,3016,Foundry; Discrete & Power Semiconductors
ASIA,3019,Sensors & Optical Modules
WELLTEND,3021,Interconnect
SINBON,3023,Interconnect
ACTION,3024,EMS & ODM
HOLY STONE,3026,Passive Components
ZENITRON,3028,Semiconductor Distribution
TRI,3030,Test & Inspection Equipment
BRIGHT,3031,LED & Optoelectronics
COMPUCASE,3032,Power & Thermal Components
Weikeng,3033,Semiconductor Distribution
NOVATEK,3034,Display IC Design
Faraday,3035,IP & Design Services
WT,3036,Semiconductor Distribution
UNIMICRON,3037,IC Substrates
EDT,3038,Display & Optical Components
ALi,3041,Logic IC Design
TXC,3042,Passive Components
PCM,3043,Power & Thermal Components
Tripod,3044,PCB & Flex Circuits
EDOM,3048,Semiconductor Distribution
HannsTouch,3049,Display & Optical Components
Optimax,3051,Display & Optical Components
